date,time,temp,az,windspeed,visibility,percipitation
27-10-2019,9,15.6,135,2,5,0
27-10-2019,6,11.4,0,2,5,0
27-10-2019,3,11.4,0,0,6,0
27-10-2019,0,12.2,0,0,7,0
26-10-2019,21,13.2,0,0,8,0
26-10-2019,18,15,0,0,8,0.125
26-10-2019,15,15.7,0,0,8,0.25
26-10-2019,12,14.3,135,3,7,4.875
26-10-2019,9,11.9,292.5,2,6,9.5
26-10-2019,6,11.7,292.5,3,2,4.875
26-10-2019,3,13.2,0,0,1.5,0.25
26-10-2019,0,13.1,0,0,2,0.125
25-10-2019,21,14,180,2,3,0
25-10-2019,18,14.8,180,2,6,0.25
25-10-2019,15,16,202.5,2,5,0.5
25-10-2019,12,15.5,135,3,7,1.25
25-10-2019,9,12.6,247.5,3,2,2
25-10-2019,6,13.6,0,0,8,1.5
25-10-2019,3,13.6,0,0,10,1
25-10-2019,0,12.9,0,0,10,2
24-10-2019,21,13.5,0,4,5,3
24-10-2019,18,18.1,225,3,4,1.5
24-10-2019,15,19.8,247.5,3,6,0
24-10-2019,12,19,157.5,3,7,0
24-10-2019,9,15.9,180,3,4,0
24-10-2019,6,12.3,292.5,2,6,3
24-10-2019,3,12.6,315,2,6,6
24-10-2019,0,13.2,0,0,6,3.25
23-10-2019,21,13.8,247.5,4,3,0.5
23-10-2019,18,15.5,202.5,2,8,0.25
23-10-2019,15,17.5,247.5,3,7,0
23-10-2019,12,15.6,247.5,5,6,0.125
23-10-2019,9,14,0,0,4,0.25
23-10-2019,6,11.4,292.5,2,5,2.375
23-10-2019,3,11.8,0,0,10,4.5
23-10-2019,0,11.9,157.5,3,7,2.3
